Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Editions_TestSuite,Chrome 78.0.3904.97,,,2019-11-20 12:18:43,2019-11-20 12:21:20,2m - 37.224s,INCOMPLETE
,,,,,,,
Test Cases/EditionsDropdown/EOL_Global_Header_TC010,Chrome 78.0.3904.97,Editions functionality,,2019-11-20 12:18:44,2019-11-20 12:20:03,1m - 19.631s,FAILED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-20 12:18:44,2019-11-20 12:18:49,4.783s,PASSED
maximizeWindow(),Chrome 78.0.3904.97,,,2019-11-20 12:18:49,2019-11-20 12:18:50,0.735s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.97,,,2019-11-20 12:18:50,2019-11-20 12:19:47,57.856s,PASSED
"click(findTestObject(""Page_Entertainmen/a_No Thanks""))",Chrome 78.0.3904.97,,,2019-11-20 12:19:47,2019-11-20 12:20:00,12.411s,FAILED
"click(findTestObject(""Page_Entertainmen/a_us""))",Chrome 78.0.3904.97,,,2019-11-20 12:20:00,2019-11-20 12:20:02,2.506s,PASSED
"click(findTestObject(""Object Repository/Editions_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_UK""))",Chrome 78.0.3904.97,,,2019-11-20 12:20:02,2019-11-20 12:20:03,0.349s,PASSED
"click(findTestObject(""Object Repository/Editions_OR/Page_Entertainment News Celebrity News Celebrity Gossip  E News UK/a_uk""))",Chrome 78.0.3904.97,,,2019-11-20 12:20:03,2019-11-20 12:20:03,0.004s,NOT_RUN
"click(findTestObject(""Object Repository/Editions_OR/Page_Entertainment News Celebrity News Celebrity Gossip  E News UK/a_Venezuela""))",Chrome 78.0.3904.97,,,2019-11-20 12:20:03,2019-11-20 12:20:03,0.003s,NOT_RUN
closeBrowser(),Chrome 78.0.3904.97,,,2019-11-20 12:20:03,2019-11-20 12:20:03,0.441s,PASSED
,,,,,,,
Test Cases/EditionsDropdown/EOL_Global_Header_TC009,Chrome 78.0.3904.97,Editions dropdown functionality,,2019-11-20 12:20:03,2019-11-20 12:21:20,1m - 17.031s,FAILED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-20 12:20:04,2019-11-20 12:20:07,3.032s,PASSED
maximizeWindow(),Chrome 78.0.3904.97,,,2019-11-20 12:20:07,2019-11-20 12:20:07,0.680s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.97,,,2019-11-20 12:20:07,2019-11-20 12:21:08,1m - 0.689s,PASSED
"click(findTestObject(""Object Repository/Editions_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_No Thanks""))",Chrome 78.0.3904.97,,,2019-11-20 12:21:08,2019-11-20 12:21:20,11.574s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Editions_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_us""), 3)",Chrome 78.0.3904.97,,,2019-11-20 12:21:20,2019-11-20 12:21:20,0.179s,PASSED
closeBrowser(),Chrome 78.0.3904.97,,,2019-11-20 12:21:20,2019-11-20 12:21:20,0.521s,PASSED
